,MSE,MAE
0,0.046823542565107346,0.1360194981098175
1,0.04671115428209305,0.13589677214622498
2,0.04673877730965614,0.13589802384376526
3,0.047031376510858536,0.1364210844039917
4,0.046985775232315063,0.13642537593841553
5,0.046992335468530655,0.1363627314567566
6,0.0469752736389637,0.13628385961055756
7,0.04683789610862732,0.13613608479499817
8,0.047021813690662384,0.1362694352865219
9,0.046438734978437424,0.1354876458644867
10,0.04705027490854263,0.13639824092388153
11,0.04700978845357895,0.13638287782669067
12,0.04703449085354805,0.13643720746040344
13,0.04724525660276413,0.13655488193035126
14,0.04677353799343109,0.13608627021312714
15,0.046819161623716354,0.13610036671161652
16,0.047034621238708496,0.13640570640563965
17,0.0470554456114769,0.13633938133716583
18,0.047121185809373856,0.13662922382354736
19,0.046604905277490616,0.13563796877861023
20,0.047212131321430206,0.13662447035312653
21,0.04697095602750778,0.1361371874809265
22,0.04705742001533508,0.13631531596183777
23,0.04699736833572388,0.1363455206155777
24,0.047174740582704544,0.13641570508480072
25,0.04708964750170708,0.13650603592395782
26,0.04691625386476517,0.1361500322818756
27,0.04690812528133392,0.13608041405677795
28,0.04723415523767471,0.13678622245788574
29,0.04686456918716431,0.1360972672700882
30,0.04713418334722519,0.1366758495569229
31,0.046856123954057693,0.1360549032688141
32,0.04658539593219757,0.13577087223529816
33,0.04702337831258774,0.13639459013938904
34,0.04689346253871918,0.13622242212295532
35,0.046754106879234314,0.1359805166721344
36,0.04678613319993019,0.13600167632102966
37,0.04678160324692726,0.13601285219192505
38,0.047088734805583954,0.1365690976381302
39,0.047401174902915955,0.13702479004859924
40,0.047388993203639984,0.13665224611759186
41,0.04719625785946846,0.13673128187656403
42,0.04655182361602783,0.1355474442243576
43,0.046981777995824814,0.13632804155349731
44,0.04670316353440285,0.1355636864900589
45,0.04669129475951195,0.1356913149356842
46,0.0466197207570076,0.135745108127594
47,0.04685370251536369,0.1361452043056488
48,0.04716064780950546,0.13654182851314545
49,0.04682591184973717,0.13604441285133362
50,0.04711559787392616,0.1366368532180786
51,0.04745132476091385,0.1369941085577011
52,0.04696947708725929,0.13627544045448303
53,0.04745123162865639,0.1369801014661789
54,0.04687979444861412,0.13618510961532593
55,0.047240983694791794,0.13660386204719543
56,0.046702250838279724,0.135838583111763
57,0.04675743356347084,0.1360623687505722
58,0.04696405306458473,0.13620570302009583
59,0.04724655672907829,0.13670042157173157
60,0.04657776281237602,0.1355361044406891
61,0.046884577721357346,0.13618573546409607
62,0.04680807888507843,0.13607391715049744
63,0.04685423523187637,0.135962575674057
64,0.047111086547374725,0.13664588332176208
65,0.046569500118494034,0.13578270375728607
66,0.046655405312776566,0.1357419788837433
67,0.04689036309719086,0.1360083967447281
68,0.046906713396310806,0.13612401485443115
69,0.04659130796790123,0.1355501264333725
70,0.04703584313392639,0.1363426297903061
71,0.046949975192546844,0.13621234893798828
72,0.047005780041217804,0.1363772451877594
73,0.04688726365566254,0.13609854876995087
74,0.04702383279800415,0.1363343894481659
75,0.04700035974383354,0.13648536801338196
76,0.04702677205204964,0.13640987873077393
77,0.0471031628549099,0.13642732799053192
78,0.04680444300174713,0.13588857650756836
79,0.0470254085958004,0.13641679286956787
80,0.04667939245700836,0.13567619025707245
81,0.04693222790956497,0.13626471161842346
82,0.046485573053359985,0.135533407330513
83,0.04710609093308449,0.1364172101020813
84,0.04705177992582321,0.13645736873149872
85,0.046975430101156235,0.1363004595041275
86,0.046972211450338364,0.13643679022789001
87,0.0468951053917408,0.13623644411563873
88,0.047123733907938004,0.1366538405418396
89,0.04680787771940231,0.1360924392938614
90,0.046874530613422394,0.1361038237810135
91,0.046872641891241074,0.13616850972175598
92,0.0470934733748436,0.13641536235809326
93,0.046823665499687195,0.13618779182434082
94,0.04700468108057976,0.1362023651599884
95,0.04697340726852417,0.13619807362556458
96,0.04726375639438629,0.13672898709774017
97,0.04677991941571236,0.13592934608459473
98,0.04671553894877434,0.13583099842071533
99,0.04712878540158272,0.13657991588115692
